Key,Module,Translation
app.description,app,明日方舟：终末地的高级工具和实用程序，包括工厂规划器、招募模拟器、角色规划器、角色展示和社区计划。
app.title,app,EndfieldTools.DEV - 明日方舟：终末地工具与实用程序
ascension.add_character,ascension,添加角色
ascension.add_character_desc,ascension,规划等级和技能升级
ascension.add_weapon,ascension,添加武器
ascension.add_weapon_desc,ascension,规划突破升级
ascension.category_breakthrough_char,ascension,角色突破
ascension.category_breakthrough_weapon,ascension,武器突破
ascension.category_exp,ascension,经验
ascension.category_exp_char,ascension,角色经验
ascension.category_exp_weapon,ascension,武器经验
ascension.category_gold,ascension,金币
ascension.category_plant,ascension,植物材料
ascension.category_skill_crown,ascension,技能皇冠
ascension.category_skill_level,ascension,技能升级
ascension.category_skill_specialize,ascension,技能专精
ascension.clear_all,ascension,清除全部
ascension.deficit,ascension,缺少
ascension.description,ascension,规划你的角色和武器升级。追踪材料并管理你的库存。
ascension.farming_list,ascension,刷取清单
ascension.from_level,ascension,起始等级
ascension.include_skills,ascension,包含技能
ascension.inventory,ascension,背包
ascension.inventory_hint,ascension,使用Tab或Enter键在输入框之间切换
ascension.inventory_search,ascension,搜索材料...
ascension.inventory_title,ascension,材料背包
ascension.keep_in_inventory,ascension,保留在背包中
ascension.level_range,ascension,等级范围
ascension.levels,ascension,等级
ascension.materials_needed,ascension,需要
ascension.materials_required,ascension,所需材料
ascension.no_items,ascension,尚未添加角色或武器
ascension.no_items_found,ascension,未找到物品
ascension.no_items_hint,ascension,点击上方按钮开始规划你的升级
ascension.no_materials,ascension,无需材料
ascension.no_materials_allocated,ascension,背包中没有分配任何材料。
ascension.owned,ascension,拥有
ascension.planner,ascension,规划
ascension.priority,ascension,优先级
ascension.priority_mode,ascension,切换优先级排序
ascension.remove,ascension,移除
ascension.remove_and_delete,ascension,移除并删除
ascension.remove_confirm_message,ascension,以下材料已分配给 {name}：
ascension.remove_confirm_title,ascension,从背包中移除？
ascension.select_character,ascension,选择角色
ascension.select_weapon,ascension,选择武器
ascension.skill_from_level,ascension,
ascension.skill_level,ascension,技能等级
ascension.skill_to_level,ascension,
ascension.skills,ascension,技能
ascension.talents,ascension,天赋
ascension.title,ascension,突破规划器
ascension.to_level,ascension,目标等级
ascension.total_exp,ascension,总计
ascension.total_items,ascension,总计：{count} 个物品
ascension.welcome_description,ascension,将角色和武器添加到列表中规划升级。追踪所需材料并监控进度。
ascension.welcome_title,ascension,欢迎使用升级规划器
auth.login,auth,登录
auth.logout,auth,登出
auth.setup_username,auth,欢迎！请设置您的用户名。
auth.signup,auth,注册
auth.welcome_back,auth,欢迎回来，{username}！
