Key,Module,Translation
app.description,app,"Advanced tools and utilities for Arknights: Endfield including factory planner, headhunt summon simulator, character planner, character showcase, and community plans."
app.title,app,EndfieldTools.DEV - Arknights: Endfield Tools & Utilities
ascension.add_character,ascension,Add Character
ascension.add_character_desc,ascension,Plan level and skill upgrades
ascension.add_weapon,ascension,Add Weapon
ascension.add_weapon_desc,ascension,Plan breakthrough upgrades
ascension.category_breakthrough_char,ascension,Character Breakthrough
ascension.category_breakthrough_weapon,ascension,Weapon Breakthrough
ascension.category_exp,ascension,Experience
ascension.category_exp_char,ascension,Character EXP
ascension.category_exp_weapon,ascension,Weapon EXP
ascension.category_gold,ascension,Gold
ascension.category_plant,ascension,Plant Materials
ascension.category_skill_crown,ascension,Skill Crown
ascension.category_skill_level,ascension,Skill Level-Up
ascension.category_skill_specialize,ascension,Skill Specialization
ascension.clear_all,ascension,Clear All
ascension.deficit,ascension,Deficit
ascension.description,ascension,Plan your character and weapon upgrades. Track materials and manage your inventory.
ascension.farming_list,ascension,Farming List
ascension.from_level,ascension,From Level
ascension.include_skills,ascension,Include Skills
ascension.inventory,ascension,Inventory
ascension.inventory_hint,ascension,Use Tab or Enter to navigate between inputs
ascension.inventory_search,ascension,Search materials...
ascension.inventory_title,ascension,Material Inventory
ascension.keep_in_inventory,ascension,Keep in Inventory
ascension.level_range,ascension,Level Range
ascension.levels,ascension,Levels
ascension.materials_needed,ascension,Need
ascension.materials_required,ascension,Materials Required
ascension.no_items,ascension,No characters or weapons added yet
ascension.no_items_found,ascension,No items found
ascension.no_items_hint,ascension,Click the buttons above to start planning your upgrades
ascension.no_materials,ascension,No materials needed
ascension.no_materials_allocated,ascension,No materials allocated from inventory.
ascension.owned,ascension,Have
ascension.planner,ascension,Planner
ascension.priority,ascension,Priority
ascension.priority_mode,ascension,Toggle priority reordering
ascension.remove,ascension,Remove
ascension.remove_and_delete,ascension,Remove & Delete
ascension.remove_confirm_message,ascension,These materials were allocated to {name}:
ascension.remove_confirm_title,ascension,Remove from Inventory?
ascension.select_character,ascension,Select Character
ascension.select_weapon,ascension,Select Weapon
ascension.skill_from_level,ascension,
ascension.skill_level,ascension,Skill Level
ascension.skill_to_level,ascension,
ascension.skills,ascension,Skills
ascension.talents,ascension,Talents
ascension.title,ascension,Ascension Planner
ascension.to_level,ascension,To Level
ascension.total_exp,ascension,Total
ascension.total_items,ascension,Total: {count} items
ascension.welcome_description,ascension,Plan your character and weapon upgrades by adding them to your list. Track materials needed and monitor your progress.
ascension.welcome_title,ascension,Welcome to the Ascension Planner
auth.login,auth,Login
auth.logout,auth,Logout
auth.setup_username,auth,Welcome! Please set up your username.
auth.signup,auth,Sign Up
auth.welcome_back,auth,"Welcome back, {username}!"
buildings.sub_automation_core,buildings,Sub-Automation Core
buildings.sub_automation_core.desc,buildings,Routes different items to each output port. All inputs are consumed.
builds.add_alt_weapon,builds,Alt
builds.add_alternative,builds,Add Alternative
builds.add_character,builds,Add Character
builds.add_recommended_partner,builds,Add Recommended Partner
builds.all_time,builds,All Time
builds.alt_label_placeholder,builds,Alt
builds.alternative,builds,Alternative
builds.alternative_equipment,builds,Alternative
builds.alternative_label_placeholder,builds,"Label (e.g., Budget Option, Late Game)"
builds.alternative_reason_placeholder,builds,Why is this an alternative?
builds.apply_filters,builds,Apply Filters
builds.auto_saved,builds,Auto-saved
builds.back_to_character,builds,Back to Builds
builds.back_to_list,builds,Back to Builds
builds.be_first_character,builds,Be the first to share a build for this character!
builds.be_first_to_share,builds,Be the first to share your build with the community!
builds.browse_builds,builds,Browse Builds
builds.browse_character_builds,builds,Browse community builds for this character
builds.build,builds,Builds
builds.build_character,builds,Build a Character
builds.build_description,builds,Build Guide
builds.build_name,builds,Build Name
builds.build_team,builds,Build a Team
builds.by,builds,by
builds.change_alt_weapon,builds,Change Alternative Weapon
builds.change_character,builds,Change Character
builds.character_desc,builds,Select main character for this build
builds.character_level,builds,Level
builds.character_not_found,builds,Character not found
builds.character_not_found_desc,builds,This character could not be found.
builds.characters,builds,characters
builds.clear_draft,builds,Clear draft
builds.clear_filters,builds,Clear Filters
builds.click_to_add_partners,builds,Click characters to add them
builds.comments,builds,Comments
builds.comments_count,builds,comments
builds.confirm_delete,builds,Are you sure you want to delete this build? This action cannot be undone.
builds.copied,builds,Copied!
builds.copy_to_clipboard,builds,Copy to Clipboard
builds.counted_in_calculations,builds,Counted in calculations
builds.create_and_share,builds,Create and Share Build
builds.create_build,builds,Create Build
builds.create_character,builds,Create Character Build
builds.create_first,builds,Create Your First Build
builds.create_new,builds,Create New Build
builds.create_team,builds,Create Team Build
builds.create_your_own,builds,Create your own build!
builds.delete_success,builds,Build deleted successfully
builds.description,builds,Create and share character builds with the community
builds.edit_mode,builds,Edit
builds.edit_reason,builds,Edit Reason
builds.equipment,builds,Equipment
builds.equipment_body,builds,Body
builds.equipment_bonuses,builds,Equipment Bonuses
builds.equipment_edc,builds,EDC
builds.equipment_hand,builds,Hand
builds.equipment_medical,builds,Medical
builds.equipment_medical_coming_soon,builds,Medical items coming soon
builds.equipment_reason_placeholder,builds,Why did you choose this equipment setup?
builds.error_delete,builds,Failed to delete build
builds.error_load_build,builds,Failed to load build for editing
builds.error_loading,builds,Failed to load builds
builds.error_name_required,builds,Build name is required
builds.error_no_main_character,builds,Please select a main character
