Key,Module,Translation
app.description,app,アークナイツ：エンドフィールドの高度なツールとユーティリティ。工場プランナー、召喚シミュレーター、キャラクタープランナー、キャラクターショーケース、コミュニティプランを含みます。
app.title,app,EndfieldTools.DEV - アークナイツ：エンドフィールド ツール＆ユーティリティ
ascension.add_character,ascension,キャラクター追加
ascension.add_character_desc,ascension,レベルとスキルのアップグレードを計画
ascension.add_weapon,ascension,武器追加
ascension.add_weapon_desc,ascension,突破アップグレードを計画
ascension.category_breakthrough_char,ascension,キャラクター突破
ascension.category_breakthrough_weapon,ascension,武器突破
ascension.category_exp,ascension,経験値
ascension.category_exp_char,ascension,キャラクター経験値
ascension.category_exp_weapon,ascension,武器経験値
ascension.category_gold,ascension,ゴールド
ascension.category_plant,ascension,植物素材
ascension.category_skill_crown,ascension,スキルクラウン
ascension.category_skill_level,ascension,スキルレベルアップ
ascension.category_skill_specialize,ascension,スキル特化
ascension.clear_all,ascension,すべてクリア
ascension.deficit,ascension,不足
ascension.description,ascension,キャラクターと武器のアップグレードを計画。素材を追跡し、在庫を管理。
ascension.farming_list,ascension,周回リスト
ascension.from_level,ascension,開始レベル
ascension.include_skills,ascension,スキルを含む
ascension.inventory,ascension,インベントリ
ascension.inventory_hint,ascension,TabまたはEnterキーで入力欄を移動
ascension.inventory_search,ascension,素材を検索...
ascension.inventory_title,ascension,素材インベントリ
ascension.keep_in_inventory,ascension,インベントリに保持
ascension.level_range,ascension,レベル範囲
ascension.levels,ascension,レベル
ascension.materials_needed,ascension,必要
ascension.materials_required,ascension,必要素材
ascension.no_items,ascension,キャラクターまたは武器が追加されていません
ascension.no_items_found,ascension,アイテムが見つかりません
ascension.no_items_hint,ascension,上のボタンをクリックしてアップグレード計画を開始
ascension.no_materials,ascension,素材不要
ascension.no_materials_allocated,ascension,インベントリから割り当てられた素材はありません。
ascension.owned,ascension,所持
ascension.planner,ascension,プランナー
ascension.priority,ascension,優先度
ascension.priority_mode,ascension,優先度の並び替え
ascension.remove,ascension,削除
ascension.remove_and_delete,ascension,削除して消去
ascension.remove_confirm_message,ascension,これらの素材は{name}に割り当てられています：
ascension.remove_confirm_title,ascension,インベントリから削除しますか？
ascension.select_character,ascension,キャラクター選択
ascension.select_weapon,ascension,武器選択
ascension.skill_from_level,ascension,
ascension.skill_level,ascension,スキルレベル
ascension.skill_to_level,ascension,
ascension.skills,ascension,スキル
ascension.talents,ascension,スキル
ascension.title,ascension,昇進プランナー
ascension.to_level,ascension,目標レベル
ascension.total_exp,ascension,合計
ascension.total_items,ascension,合計：{count}個
ascension.welcome_description,ascension,キャラクターと武器をリストに追加してアップグレードを計画しましょう。必要な素材を追跡し、進捗を監視できます。
ascension.welcome_title,ascension,昇進プランナーへようこそ
auth.login,auth,ログイン
auth.logout,auth,ログアウト
auth.setup_username,auth,ようこそ！ユーザー名を設定してください。
auth.signup,auth,サインアップ
auth.welcome_back,auth,お帰りなさい、{username}！
buildings.sub_automation_core,buildings,サブオートメーションコア
buildings.sub_automation_core.desc,buildings,各出力ポートに異なるアイテムをルーティングします。すべての入力は消費されます。
builds.add_alt_weapon,builds,代替
builds.add_alternative,builds,代替を追加
builds.add_character,builds,キャラ追加
builds.add_recommended_partner,builds,
builds.all_time,builds,全期間
builds.alt_label_placeholder,builds,代替
builds.alternative,builds,代替
builds.alternative_equipment,builds,代替装備
builds.alternative_label_placeholder,builds,ラベル（例：予算案、終盤）
builds.alternative_reason_placeholder,builds,なぜこれが代替案ですか？
builds.apply_filters,builds,フィルターを適用
builds.auto_saved,builds,自動保存済み
builds.back_to_character,builds,ビルド一覧に戻る
builds.back_to_list,builds,一覧に戻る
builds.be_first_character,builds,このキャラクターのビルドを最初に共有しましょう！
builds.be_first_to_share,builds,最初にビルドを共有しましょう！
builds.browse_builds,builds,ビルドを閲覧
builds.browse_character_builds,builds,このキャラクターのコミュニティビルドを閲覧
builds.build,builds,ビルド
builds.build_character,builds,キャラビルド
builds.build_description,builds,ビルドガイド
builds.build_name,builds,ビルド名
builds.build_team,builds,チームを編成
builds.by,builds,作成者
builds.change_alt_weapon,builds,代替武器を変更
builds.change_character,builds,キャラクターを変更
builds.character_desc,builds,このビルドのメインキャラクターを選択
builds.character_level,builds,レベル
builds.character_not_found,builds,キャラクターが見つかりません
builds.character_not_found_desc,builds,キャラクターが見つかりませんでした。
builds.characters,builds,キャラクター
builds.clear_draft,builds,下書きをクリア
builds.clear_filters,builds,フィルターをクリア
builds.click_to_add_partners,builds,
builds.comments,builds,コメント
builds.comments_count,builds,コメント
builds.confirm_delete,builds,このビルドを削除しますか？この操作は取り消せません。
builds.copied,builds,コピーしました!
builds.copy_to_clipboard,builds,クリップボードにコピー
builds.counted_in_calculations,builds,計算に含まれています
builds.create_and_share,builds,ビルドを作成・共有
builds.create_build,builds,ビルド作成
builds.create_character,builds,キャラクタービルド作成
builds.create_first,builds,最初のビルドを作成
builds.create_new,builds,新規ビルド作成
builds.create_team,builds,チームビルド作成
builds.create_your_own,builds,あなたのビルドを作成！
builds.delete_success,builds,ビルドを削除しました
builds.description,builds,コミュニティとキャラクタービルドを作成・共有
builds.edit_mode,builds,編集
builds.edit_reason,builds,理由を編集
builds.equipment,builds,装備
builds.equipment_body,builds,ボディ
builds.equipment_bonuses,builds,装備ボーナス
builds.equipment_edc,builds,EDC
builds.equipment_hand,builds,ハンド
builds.equipment_medical,builds,メディカル
builds.equipment_medical_coming_soon,builds,医療アイテムは近日公開
builds.equipment_reason_placeholder,builds,なぜこの装備を選びましたか？
builds.error_delete,builds,ビルドの削除に失敗しました
builds.error_load_build,builds,ビルドの読み込みに失敗しました
builds.error_loading,builds,ビルドの読み込みに失敗しました
builds.error_name_required,builds,ビルド名は必須です
builds.error_no_main_character,builds,メインキャラクターを選択してください
builds.error_title,builds,ビルドが見つかりません
builds.error_toggle,builds,表示切り替えに失敗しました
builds.explain_why,builds,理由を説明
builds.export_build,builds,ビルドをエクスポート
