Key,Module,Translation
app.description,app,明日方舟：終末地的高級工具和實用程序，包括工廠規劃器、招募模擬器、角色規劃器、角色展示和社區計劃。
app.title,app,EndfieldTools.DEV - 明日方舟：終末地工具與實用程序
ascension.add_character,ascension,添加角色
ascension.add_character_desc,ascension,選擇角色並設定等級範圍以計算材料
ascension.add_weapon,ascension,添加武器
ascension.add_weapon_desc,ascension,添加武器與角色一起規劃升級
ascension.category_breakthrough_char,ascension,角色突破材料
ascension.category_breakthrough_weapon,ascension,武器突破材料
ascension.category_exp,ascension,經驗
ascension.category_exp_char,ascension,角色經驗
ascension.category_exp_weapon,ascension,武器經驗
ascension.category_gold,ascension,金幣
ascension.category_plant,ascension,植物材料
ascension.category_skill_crown,ascension,技能皇冠
ascension.category_skill_level,ascension,技能升級材料
ascension.category_skill_specialize,ascension,技能專精材料
ascension.clear_all,ascension,清除全部
ascension.deficit,ascension,缺少
ascension.description,ascension,
ascension.farming_list,ascension,刷取清單
ascension.from_level,ascension,從等級
ascension.include_skills,ascension,包含技能
ascension.inventory,ascension,背包
ascension.inventory_hint,ascension,使用Tab或Enter鍵在輸入框之間切換
ascension.inventory_search,ascension,搜尋材料...
ascension.inventory_title,ascension,材料背包
ascension.keep_in_inventory,ascension,保留在背包中
ascension.level_range,ascension,等級範圍
ascension.levels,ascension,等級
ascension.materials_needed,ascension,所需材料
ascension.materials_required,ascension,所需材料
ascension.no_items,ascension,尚未選擇角色或武器
ascension.no_items_found,ascension,未找到物品
ascension.no_items_hint,ascension,
ascension.no_materials,ascension,不需要材料
ascension.no_materials_allocated,ascension,背包中沒有分配任何材料。
ascension.owned,ascension,擁有
ascension.planner,ascension,規劃
ascension.priority,ascension,優先級
ascension.priority_mode,ascension,切換優先級排序
ascension.remove,ascension,移除
ascension.remove_and_delete,ascension,移除並刪除
ascension.remove_confirm_message,ascension,以下材料已分配給 {name}：
ascension.remove_confirm_title,ascension,從背包中移除？
ascension.select_character,ascension,選擇角色
ascension.select_weapon,ascension,選擇武器
ascension.skill_from_level,ascension,技能從
ascension.skill_level,ascension,
ascension.skill_to_level,ascension,技能到
ascension.skills,ascension,技能
ascension.talents,ascension,天賦
ascension.title,ascension,升格規劃器
ascension.to_level,ascension,到等級
ascension.total_exp,ascension,總計
ascension.total_items,ascension,總計：{count} 個物品
ascension.welcome_description,ascension,規劃角色和武器的升級，追蹤所需材料，並在同一個地方管理您的道具庫存。
ascension.welcome_title,ascension,歡迎使用升格規劃器
auth.login,auth,登入
auth.logout,auth,登出
auth.setup_username,auth,歡迎！請設置您的用戶名。
auth.signup,auth,註冊
auth.welcome_back,auth,歡迎回來，{username}！
buildings.sub_automation_core,buildings,子自動化核心
buildings.sub_automation_core.desc,buildings,將不同物品路由到每個輸出端口。所有輸入均被消耗。
builds.add_alt_weapon,builds,替代
builds.add_alternative,builds,新增備選
builds.add_character,builds,新增角色
builds.add_recommended_partner,builds,
builds.all_time,builds,全部時間
builds.alt_label_placeholder,builds,替代
builds.alternative,builds,備選
builds.alternative_equipment,builds,備選
builds.alternative_label_placeholder,builds,標籤（如：經濟選項、後期）
builds.alternative_reason_placeholder,builds,為什麼這是備選方案？
builds.apply_filters,builds,套用篩選
builds.auto_saved,builds,已自動儲存
builds.back_to_character,builds,返回配置列表
builds.back_to_list,builds,返回配置列表
builds.be_first_character,builds,成為第一個分享該角色配置的人！
builds.be_first_to_share,builds,成為第一個與社群分享配置的人！
builds.browse_builds,builds,瀏覽配置
builds.browse_character_builds,builds,瀏覽該角色的社群配置
builds.build,builds,配置
builds.build_character,builds,角色配置
builds.build_description,builds,配置指南
builds.build_name,builds,配置名稱
builds.build_team,builds,組建隊伍
builds.by,builds,作者
builds.change_alt_weapon,builds,更換替代武器
builds.change_character,builds,更換角色
builds.character_desc,builds,選擇此配置的主角色
builds.character_level,builds,等級
builds.character_not_found,builds,未找到角色
builds.character_not_found_desc,builds,未找到該角色。
builds.characters,builds,角色
builds.clear_draft,builds,清除草稿
builds.clear_filters,builds,清除篩選
builds.click_to_add_partners,builds,
builds.comments,builds,留言
builds.comments_count,builds,留言
