Key,Module,Translation
app.description,app,"Herramientas y utilidades avanzadas para Arknights: Endfield, incluyendo planificador de fábrica, simulador de invocación, planificador de personajes, vitrina de personajes y planes de la comunidad."
app.title,app,EndfieldTools.DEV - Arknights: Endfield Herramientas y Utilidades
ascension.add_character,ascension,Agregar Personaje
ascension.add_character_desc,ascension,Planifica mejoras de nivel y habilidades
ascension.add_weapon,ascension,Agregar Arma
ascension.add_weapon_desc,ascension,Planifica mejoras de avance
ascension.category_breakthrough_char,ascension,Ascensión de Personaje
ascension.category_breakthrough_weapon,ascension,Ascensión de Arma
ascension.category_exp,ascension,Experiencia
ascension.category_exp_char,ascension,EXP de Personaje
ascension.category_exp_weapon,ascension,EXP de Arma
ascension.category_gold,ascension,Oro
ascension.category_plant,ascension,Materiales de Planta
ascension.category_skill_crown,ascension,Corona de Habilidad
ascension.category_skill_level,ascension,Subir Nivel de Habilidad
ascension.category_skill_specialize,ascension,Especialización de Habilidad
ascension.clear_all,ascension,Borrar Todo
ascension.deficit,ascension,Déficit
ascension.description,ascension,Planifica las mejoras de tus personajes y armas. Rastrea materiales y administra tu inventario.
ascension.farming_list,ascension,Lista de Farmeo
ascension.from_level,ascension,Desde Nivel
ascension.include_skills,ascension,Incluir Habilidades
ascension.inventory,ascension,Inventario
ascension.inventory_hint,ascension,Usa Tab o Enter para navegar entre campos
ascension.inventory_search,ascension,Buscar materiales...
ascension.inventory_title,ascension,Inventario de Materiales
ascension.keep_in_inventory,ascension,Mantener en Inventario
ascension.level_range,ascension,Rango de Nivel
ascension.levels,ascension,Niveles
ascension.materials_needed,ascension,Necesario
ascension.materials_required,ascension,Materiales Requeridos
ascension.no_items,ascension,No se han agregado personajes ni armas
ascension.no_items_found,ascension,No se encontraron objetos
ascension.no_items_hint,ascension,Haz clic en los botones de arriba para comenzar a planificar
ascension.no_materials,ascension,Sin materiales necesarios
ascension.no_materials_allocated,ascension,No hay materiales asignados del inventario.
ascension.owned,ascension,Poseído
ascension.planner,ascension,Planificador
ascension.priority,ascension,Prioridad
ascension.priority_mode,ascension,Alternar reordenamiento por prioridad
ascension.remove,ascension,Eliminar
ascension.remove_and_delete,ascension,Eliminar y Borrar
ascension.remove_confirm_message,ascension,Estos materiales fueron asignados a {name}:
ascension.remove_confirm_title,ascension,¿Eliminar del Inventario?
ascension.select_character,ascension,Seleccionar Personaje
ascension.select_weapon,ascension,Seleccionar Arma
ascension.skill_from_level,ascension,
ascension.skill_level,ascension,Nivel de Habilidad
ascension.skill_to_level,ascension,
ascension.skills,ascension,Habilidades
ascension.talents,ascension,Talentos
ascension.title,ascension,Planificador de Ascensión
ascension.to_level,ascension,Hasta Nivel
ascension.total_exp,ascension,Total
ascension.total_items,ascension,Total: {count} objetos
ascension.welcome_description,ascension,Planifica las mejoras de tus personajes y armas añadiéndolos a tu lista. Rastrea los materiales necesarios y monitorea tu progreso.
ascension.welcome_title,ascension,Bienvenido al Planificador de Ascensión
auth.login,auth,Iniciar Sesión
auth.logout,auth,Cerrar Sesión
auth.setup_username,auth,¡Bienvenido! Por favor configura tu nombre de usuario.
auth.signup,auth,Registrarse
auth.welcome_back,auth,"¡Bienvenido de vuelta, {username}!"
buildings.sub_automation_core,buildings,Núcleo de Sub-Automatización
buildings.sub_automation_core.desc,buildings,Enruta diferentes artículos a cada puerto de salida. Todas las entradas se consumen.
builds.add_alt_weapon,builds,Alt
builds.add_alternative,builds,Añadir Alternativa
builds.add_character,builds,Añadir Personaje
builds.add_recommended_partner,builds,
builds.all_time,builds,Todo el Tiempo
builds.alt_label_placeholder,builds,Alt
builds.alternative,builds,Alternativa
builds.alternative_equipment,builds,Alternativa
builds.alternative_label_placeholder,builds,"Etiqueta (ej., Opción Económica, Juego Tardío)"
builds.alternative_reason_placeholder,builds,¿Por qué es esta una alternativa?
builds.apply_filters,builds,Aplicar Filtros
builds.auto_saved,builds,Guardado automático
builds.back_to_character,builds,Volver a Builds
builds.back_to_list,builds,Volver a Builds
builds.be_first_character,builds,¡Sé el primero en compartir un build para este personaje!
builds.be_first_to_share,builds,¡Sé el primero en compartir tu build con la comunidad!
builds.browse_builds,builds,Explorar Builds
builds.browse_character_builds,builds,Explorar builds de la comunidad para este personaje
builds.build,builds,Builds
builds.build_character,builds,Build de Personaje
builds.build_description,builds,Guía del Build
builds.build_name,builds,Nombre del Build
builds.build_team,builds,Crear Equipo
builds.by,builds,por
builds.change_alt_weapon,builds,Cambiar Arma Alternativa
builds.change_character,builds,Cambiar Personaje
builds.character_desc,builds,Selecciona el personaje principal para este build
builds.character_level,builds,Nivel
builds.character_not_found,builds,Personaje no encontrado
builds.character_not_found_desc,builds,No se pudo encontrar este personaje.
builds.characters,builds,personajes
builds.clear_draft,builds,Limpiar borrador
builds.clear_filters,builds,Limpiar Filtros
builds.click_to_add_partners,builds,
builds.comments,builds,Comentarios
builds.comments_count,builds,comentarios
builds.confirm_delete,builds,¿Estás seguro de eliminar este build? Esta acción no se puede deshacer.
builds.copied,builds,¡Copiado!
builds.copy_to_clipboard,builds,Copiar al Portapapeles
builds.counted_in_calculations,builds,Incluido en cálculos
builds.create_and_share,builds,Crear y Compartir Build
builds.create_build,builds,Crear Build
builds.create_character,builds,Crear Build de Personaje
builds.create_first,builds,Crea Tu Primer Build
builds.create_new,builds,Crear Nuevo Build
builds.create_team,builds,Crear Build de Equipo
builds.create_your_own,builds,¡Crea tu propia build!
builds.delete_success,builds,Build eliminado exitosamente
builds.description,builds,Crea y comparte builds de personajes con la comunidad
builds.edit_mode,builds,Editar
builds.edit_reason,builds,Editar Razón
builds.equipment,builds,Equipo
builds.equipment_body,builds,Cuerpo
builds.equipment_bonuses,builds,Bonificaciones de Equipo
builds.equipment_edc,builds,EDC
builds.equipment_hand,builds,Mano
builds.equipment_medical,builds,Médico
builds.equipment_medical_coming_soon,builds,Items médicos próximamente
builds.equipment_reason_placeholder,builds,¿Por qué elegiste este equipo?
builds.error_delete,builds,Error al eliminar el build
builds.error_load_build,builds,Error al cargar el build para editar
builds.error_loading,builds,Error al cargar builds
builds.error_name_required,builds,Se requiere nombre del build
builds.error_no_main_character,builds,Por favor selecciona un personaje principal
builds.error_title,builds,Build No Encontrado
builds.error_toggle,builds,Error al cambiar visibilidad
builds.explain_why,builds,Explicar Por Qué
builds.export_build,builds,Exportar Build
builds.filter_by_character,builds,Personaje Principal
builds.filter_by_element,builds,Tipo de Elemento
builds.filter_by_partner,builds,Compañero de Equipo
builds.filter_by_set,builds,Set de Equipo
builds.filter_by_tag,builds,Etiqueta
builds.filter_by_weapon,builds,Arma
builds.filter_character,builds,Personaje
builds.filter_has_video,builds,Con Video Guía
builds.filter_weapon,builds,Tipo de Arma
builds.filters,builds,Filtros
builds.guide,builds,Guía de Build
builds.hide_section,builds,Ocultar esta sección
builds.hide_stats,builds,Ocultar Stats
builds.import_build,builds,Importar Build
builds.import_error,builds,Datos de build inválidos. Verifica el formato JSON.
builds.import_export,builds,Importar/Exportar Build
builds.import_placeholder,builds,Pega el JSON del build para importar...
builds.import_success,builds,¡Build importado exitosamente!
builds.latest_builds,builds,Últimos Builds
builds.liked_builds,builds,Builds Favoritos
builds.likes,builds,likes
builds.link_copied,builds,¡Enlace copiado!
builds.loading_builds,builds,Cargando builds...
builds.login_required,builds,Inicia sesión para guardar builds
builds.main_equipment,builds,Equipo Principal
builds.make_public,builds,Hacer Público
builds.manage_builds,builds,Gestionar Builds
builds.max_2_tags,builds,Máx 2
builds.max_partners_reached,builds,
builds.most_liked,builds,Más Gustados
builds.most_popular,builds,Más Popular
builds.my_builds,builds,Mis Builds
builds.no_build_specified,builds,Sin Build Especificado
builds.no_build_specified_desc,builds,Por favor selecciona un build para ver.
builds.no_builds_character,builds,Sin builds aún
builds.no_builds_period,builds,No se encontraron builds para este período.
builds.no_builds_yet,builds,Aún no has creado ningún build
builds.no_character_selected,builds,No hay personaje en esta build
builds.no_community_builds,builds,Aún No Hay Builds de la Comunidad
builds.no_description,builds,Sin descripción
builds.no_equipment_selected,builds,Sin equipo seleccionado
builds.no_liked_builds,builds,Aún no has dado like a ningún build
builds.no_notes,builds,Sin notas
builds.no_results,builds,No se encontraron builds
builds.no_results_desc,builds,Ningún build coincide con tus filtros actuales. Intenta ajustar los filtros o explora los builds populares abajo.
builds.no_weapon,builds,Arma no seleccionada
builds.not_found,builds,Build no encontrado o no tienes permiso para verlo
builds.not_found_desc,builds,El build que buscas no existe o ha sido eliminado.
builds.notes,builds,Notas
builds.nothing_recommended,builds,Nada recomendado
builds.other_recommended_partners,builds,
builds.partner,builds,Compañero
builds.partners_explanation_placeholder,builds,
builds.popular_this_week,builds,Builds Populares Esta Semana
builds.preview,builds,Vista Previa
builds.preview_note,builds,Esta es una vista previa de cómo aparecerá tu build para otros
builds.private,builds,Privado
builds.public,builds,Público
builds.publish,builds,Publicar
builds.recommended_partners_help,builds,
builds.remove_alternative,builds,Eliminar Alternativa
builds.remove_character,builds,Eliminar
builds.remove_to_add_more,builds,
builds.reset_filters,builds,Restablecer Filtros
builds.results_for,builds,Resultados para
builds.role,builds,Rol
builds.save_build,builds,Guardar Build
builds.save_error,builds,Error al guardar el build. Por favor intenta de nuevo.
builds.save_requirements,builds,Se requiere nombre del build y al menos un personaje
builds.save_success,builds,¡Build guardado exitosamente!
builds.saving,builds,Guardando...
builds.search_equipment,builds,"Buscar por nombre de set, stat o efecto..."
builds.search_placeholder,builds,Buscar builds...
builds.search_results,builds,Resultados de Búsqueda
builds.select_equipment,builds,Seleccionar Equipo
builds.select_partner_to_recommend,builds,
builds.select_weapon,builds,Seleccionar Arma
builds.selected_partners,builds,
builds.set_bonuses,builds,Bonificaciones de set
builds.share_with_community,builds,Comparte tu estrategia con la comunidad
builds.short_description,builds,Descripción Breve
builds.show_stats,builds,Mostrar Stats
builds.single_build,builds,Build Individual
builds.single_char,builds,Un solo personaje
builds.single_mode,builds,Un Solo Personaje
builds.skill_priority,builds,Prioridad de Habilidades
builds.skill_priority_reason_placeholder,builds,¿Por qué este orden de mejora?
builds.skill_type_combo,builds,Combo
builds.skill_type_normal,builds,Normal
builds.skill_type_ultimate,builds,Definitivo
builds.skill_upgrade_priority,builds,Prioridad de Mejora de Habilidades
builds.skills,builds,Habilidades
builds.solo_build,builds,Build Solo
builds.sort_by,builds,Ordenar Por
builds.sort_latest,builds,Más Recientes
builds.sort_popular,builds,Populares
builds.subtitle,builds,Explora y comparte builds de equipo
builds.tag_boss,builds,Jefe
builds.tag_early_game,builds,Juego Temprano
builds.tag_f2p_friendly,builds,Amigable F2P
builds.tag_farming,builds,Farmeo
builds.tag_help,builds,Selecciona hasta 2 etiquetas para ayudar a los jugadores a encontrar tu build
builds.tag_late_game,builds,Juego Tardío
builds.tag_mid_game,builds,Juego Medio
builds.tag_not_f2p_friendly,builds,No F2P Friendly
builds.tags,builds,Etiquetas
builds.team_build,builds,Build de Equipo
builds.team_desc,builds,Crea un equipo de hasta 4 personajes
builds.team_mode,builds,Equipo (hasta 4)
builds.team_role_placeholder,builds,"Rol (ej. DPS Principal, Apoyo)"
builds.team_role_reason_placeholder,builds,¿Por qué este personaje cumple este rol?
builds.this_month,builds,Este Mes
builds.this_week,builds,Esta Semana
builds.title,builds,Builds de la Comunidad
builds.try_different_filters,builds,Intenta ajustar los filtros o la búsqueda para encontrar más builds.
builds.unnamed,builds,Build sin nombre
builds.unpublish,builds,Despublicar
builds.untitled,builds,Build sin título
builds.up_to_4,builds,Hasta 4 personajes
builds.update_build,builds,Actualizar Build
builds.update_success,builds,¡Build actualizado exitosamente!
builds.video,builds,Video
builds.video_showcase,builds,Video de Demostración
builds.view_character_details,builds,Ver Detalles del Personaje
builds.view_mode,builds,Ver
builds.views,builds,vistas
builds.visibility_updated,builds,Visibilidad del build actualizada
builds.watch_video,builds,Ver Video
builds.weapon,builds,Arma
builds.weapon_bonuses,builds,Bonificaciones de Arma
builds.weapon_label_placeholder,builds,Mejor
builds.weapon_not_found,builds,Arma no encontrada
builds.weapon_reason_placeholder,builds,¿Por qué elegiste esta arma?
builds.weapon_skills,builds,Habilidades de Arma
builds.weapons,builds,Armas
builds.why_these_partners,builds,
builds.your_username,builds,Tu nombre de usuario
builds.youtube_video,builds,Video de YouTube
builds.youtube_video_hint,builds,Agrega un video de YouTube mostrando tu build
characters.all_elements,characters,Todos los Elementos
characters.all_professions,characters,Todas las Profesiones
characters.all_rarities,characters,Todas las Rarezas
characters.aspd,characters,Vel. Ataque
characters.atk,characters,ATQ
characters.battle_skills,characters,Habilidades de Combate
characters.battle_tags,characters,Etiquetas de Batalla
characters.breakthrough,characters,Avance
characters.breakthrough_details,characters,Detalles de Avance
characters.browse_all,characters,Explorar todos los personajes de Endfield
characters.def,characters,DEF
characters.department,characters,Facción
characters.discussion,characters,Discusión de Personaje
characters.effect,characters,Efecto
characters.element,characters,Elemento
characters.exp_items_required,characters,Items de EXP
characters.experience_calculator,characters,Calculadora de Experiencia
characters.factory_skill_slot,characters,Ranura de Habilidad {slot}
characters.factory_skills,characters,Habilidades de Base
characters.from_level,characters,Desde
characters.hp,characters,HP
characters.level_1,characters,Nivel 1
characters.level_range,characters,Rango de Nivel
characters.level_up_requirements,characters,Requisitos de Subida de Nivel
characters.materials_required,characters,Materiales Requeridos
characters.max_level,characters,Nivel Máximo
characters.no_factory_skills,characters,Sin habilidades de base
characters.potential,characters,Potencial
characters.potential_level,characters,Potencial {level}
characters.potential_passive,characters,Potencial y Pasivos
characters.profession,characters,Profesión
characters.profile_records,characters,Registros de Perfil
characters.rarity,characters,Rareza
characters.required_items,characters,Objetos Requeridos
characters.results,characters,personajes encontrados
characters.search,characters,Buscar personajes...
characters.skill_type_combo,characters,Habilidad de Combo
characters.skill_type_normal,characters,Habilidad Normal
characters.skill_type_talent,characters,Talento
characters.skill_type_ultimate,characters,Habilidad Definitiva
characters.stats_progression,characters,Progresión de Estadísticas
characters.talents,characters,Talentos
characters.title,characters,Personajes
characters.to_level,characters,Hasta
characters.unlocks_at,characters,Se desbloquea en Nv.{level}
characters.voice_actors,characters,Actores de Voz
characters.voice_lines,characters,Líneas de Voz
characters.weapon_type,characters,Tipo de Arma
comments.auth_required_title,comments,Autenticación Requerida
comments.be_first,comments,¡Sé el primero en compartir tu opinión!
comments.cancel,comments,Cancelar
comments.char_count,comments,{count} / {max}
comments.days_ago,comments,Hace {count}d
comments.delete,comments,Eliminar
comments.deleting,comments,Eliminando...
comments.edit,comments,Editar
comments.edit_placeholder,comments,Edita tu comentario...
comments.edited,comments,(editado)
comments.error_delete_failed,comments,"Error al eliminar comentario. Por favor, intenta de nuevo."
comments.error_empty,comments,El comentario no puede estar vacío.
comments.error_invalid_content,comments,"Tu comentario contiene caracteres inválidos o etiquetas HTML. Por favor, usa solo texto plano."
comments.error_post_failed,comments,"Error al publicar comentario. Por favor, intenta de nuevo."
comments.error_too_long,comments,El comentario es demasiado largo (máx. {max} caracteres).
comments.error_update_failed,comments,"Error al actualizar comentario. Por favor, intenta de nuevo."
comments.formatting_guide,comments,Formato
comments.hide_replies,comments,Ocultar {count} respuestas
comments.hours_ago,comments,Hace {count}h
comments.join_discussion,comments,Únete a la discusión...
comments.just_now,comments,Ahora mismo
comments.load_more,comments,Cargar Más Comentarios
comments.loading,comments,Cargando comentarios...
comments.loading_replies,comments,Cargando respuestas...
comments.login_link,comments,iniciar sesión
comments.login_required,comments,Inicia sesión para publicar comentarios.
comments.mention_keyboard_hint,comments,↑↓ Navegar • Enter Seleccionar • Esc Cerrar
comments.mention_no_users,comments,No se encontraron usuarios
comments.mention_searching,comments,Buscando usuarios...
comments.minutes_ago,comments,Hace {count}m
comments.no_comments,comments,Aún no hay comentarios
comments.placeholder,comments,Comparte tu opinión...
comments.post_comment,comments,Publicar Comentario
comments.post_reply,comments,Publicar Respuesta
comments.posting,comments,Publicando...
comments.reply,comments,Responder
comments.reply_placeholder,comments,Escribe una respuesta...
comments.replying_to,comments,Respondiendo a
comments.save_changes,comments,Guardar Cambios
comments.show_replies,comments,Mostrar {count} respuestas
comments.success_deleted,comments,¡Comentario eliminado exitosamente!
comments.success_posted,comments,¡Comentario publicado exitosamente!
comments.success_reply_posted,comments,¡Respuesta publicada exitosamente!
comments.success_updated,comments,¡Comentario actualizado exitosamente!
comments.title,comments,Comentarios
comments.warning_auth_required,comments,Inicia sesión para publicar comentarios.
common.all_time,common,Todo el tiempo
common.back,common,Volver
common.cancel,common,Cancelar
common.clear,common,Limpiar
common.close,common,Cerrar
common.coming_soon,common,Próximamente...
common.confirm,common,Confirmar
common.copied,common,¡Copiado!
common.copy,common,Copiar
common.copy_link,common,Copiar enlace
common.delete,common,Eliminar
common.edit,common,Editar
common.error,common,Error
common.exp_required,common,EXP Requerida
common.filters,common,Filtros
common.frequently_asked_questions,common,Preguntas Frecuentes
common.gold_cost,common,Costo de Oro
common.last_updated,common,Última actualización
common.latest,common,Más reciente
common.level,common,Nivel
common.loading,common,Cargando...
common.no_data_yet,common,Sin datos aún
common.no_results,common,Sin resultados
common.optional,common,opcional
common.popular,common,Popular
common.quick_navigation,common,Navegación Rápida
common.related_characters,common,Personajes Relacionados
common.related_weapons,common,Armas Relacionadas
common.reset,common,Restablecer
common.save,common,Guardar
common.saving,common,Guardando...
common.search,common,Buscar
common.search_results,common,Resultados de búsqueda
common.show_less,common,Mostrar menos
common.show_more,common,Mostrar más
common.sort_by,common,Ordenar por
common.success,common,Éxito
common.this_month,common,Este mes
common.this_week,common,Esta semana
common.view,common,Ver
custom.conveyor_merger.desc,custom,Fusiona hasta 3 líneas transportadoras en 1 salida. No requiere energía.
custom.conveyor_merger.name,custom,Fusionador de Transportadores
equipment.additional_stats,equipment,Estadísticas Adicionales
equipment.all_parts,equipment,Todos los Tipos
equipment.all_stages,equipment,Todas las Etapas
equipment.all_tiers,equipment,Todos los Niveles
equipment.attr.AllDamageTakenScalar,equipment,Reducción de Daño Recibido
equipment.attr.AllSkillDamageIncrease,equipment,Daño de Todas las Habilidades
equipment.attr.CrystAndPulseDamageIncrease,equipment,Daño de Cryo y Eléctrico
equipment.attr.FireAndNaturalDamageIncrease,equipment,Daño de Calor y Naturaleza
equipment.attr.Main,equipment,Atributo Principal
equipment.attr.SpellDamageIncrease,equipment,Daño de Artes
equipment.attr.Sub,equipment,Atributo Sec.
equipment.base_stats,equipment,Estadísticas Base
equipment.best_for_characters,equipment,Mejor Para Estos Personajes
equipment.best_sets,equipment,Mejores Conjuntos de Equipo
equipment.browse_all,equipment,Explorar todos los conjuntos de equipo
equipment.community_rating,equipment,Calificación de la Comunidad
equipment.early_game,equipment,Juego Temprano (Nv10-28)
equipment.equipment_details,equipment,Detalles del Equipo
equipment.equipment_pieces,equipment,Piezas de Equipo
equipment.filter_by_part,equipment,Filtrar por Tipo de Parte
equipment.filter_by_stage,equipment,Filtrar por Etapa
equipment.filter_by_tier,equipment,Filtrar por Nivel
equipment.game_stage,equipment,Etapa del Juego
equipment.late_game,equipment,Juego Tardío (Nv70)
equipment.level_requirement,equipment,Nivel {level} Requerido
equipment.loading,equipment,Cargando datos de equipo...
equipment.main_stat,equipment,Principal
equipment.mid_game,equipment,Juego Medio (Nv36-50)
equipment.most_liked,equipment,Más Gustados
equipment.no_set_bonus,equipment,Este es un objeto individual sin bonus de conjunto
equipment.no_sets_found,equipment,No se encontraron conjuntos de equipo
equipment.no_standalone_found,equipment,No se encontró equipo individual
