Key,Module,Translation
app.description,app,"명일방주: 엔드필드를 위한 고급 도구 및 유틸리티. 공장 플래너, 소환 시뮬레이터, 캐릭터 플래너, 캐릭터 쇼케이스 및 커뮤니티 계획 포함."
app.title,app,EndfieldTools.DEV - 명일방주: 엔드필드 도구 및 유틸리티
ascension.add_character,ascension,캐릭터 추가
ascension.add_character_desc,ascension,레벨 및 스킬 업그레이드 계획
ascension.add_weapon,ascension,무기 추가
ascension.add_weapon_desc,ascension,돌파 업그레이드 계획
ascension.category_breakthrough_char,ascension,캐릭터 돌파
ascension.category_breakthrough_weapon,ascension,무기 돌파
ascension.category_exp,ascension,경험치
ascension.category_exp_char,ascension,캐릭터 경험치
ascension.category_exp_weapon,ascension,무기 경험치
ascension.category_gold,ascension,골드
ascension.category_plant,ascension,식물 재료
ascension.category_skill_crown,ascension,스킬 크라운
ascension.category_skill_level,ascension,스킬 레벨업
ascension.category_skill_specialize,ascension,스킬 특화
ascension.clear_all,ascension,모두 지우기
ascension.deficit,ascension,부족
ascension.description,ascension,캐릭터와 무기 업그레이드를 계획하세요. 재료를 추적하고 인벤토리를 관리하세요.
ascension.farming_list,ascension,파밍 목록
ascension.from_level,ascension,시작 레벨
ascension.include_skills,ascension,스킬 포함
ascension.inventory,ascension,인벤토리
ascension.inventory_hint,ascension,Tab 또는 Enter 키로 입력란 이동
ascension.inventory_search,ascension,재료 검색...
ascension.inventory_title,ascension,재료 인벤토리
ascension.keep_in_inventory,ascension,인벤토리에 유지
ascension.level_range,ascension,레벨 범위
ascension.levels,ascension,레벨
ascension.materials_needed,ascension,필요
ascension.materials_required,ascension,필요 재료
ascension.no_items,ascension,캐릭터나 무기가 추가되지 않았습니다
ascension.no_items_found,ascension,아이템을 찾을 수 없습니다
ascension.no_items_hint,ascension,위 버튼을 클릭하여 업그레이드 계획을 시작하세요
ascension.no_materials,ascension,재료 불필요
ascension.no_materials_allocated,ascension,인벤토리에서 할당된 재료가 없습니다.
ascension.owned,ascension,보유
ascension.planner,ascension,플래너
ascension.priority,ascension,우선순위
ascension.priority_mode,ascension,우선순위 재정렬
ascension.remove,ascension,제거
ascension.remove_and_delete,ascension,삭제 및 제거
ascension.remove_confirm_message,ascension,이 재료들은 {name}에 할당되어 있습니다:
ascension.remove_confirm_title,ascension,인벤토리에서 삭제하시겠습니까?
ascension.select_character,ascension,캐릭터 선택
ascension.select_weapon,ascension,무기 선택
ascension.skill_from_level,ascension,
ascension.skill_level,ascension,스킬 레벨
ascension.skill_to_level,ascension,
ascension.skills,ascension,스킬
ascension.talents,ascension,스킬
ascension.title,ascension,돌파 플래너
ascension.to_level,ascension,목표 레벨
ascension.total_exp,ascension,합계
ascension.total_items,ascension,총: {count}개
ascension.welcome_description,ascension,캐릭터와 무기를 목록에 추가하여 업그레이드를 계획하세요. 필요한 재료를 추적하고 진행 상황을 모니터링하세요.
