Key,Module,Translation
app.description,app,"Продвинутые инструменты и утилиты для Arknights: Endfield, включая планировщик фабрики, симулятор призыва, планировщик персонажей, витрину персонажей и планы сообщества."
app.title,app,EndfieldTools.DEV - Arknights: Endfield Инструменты и Утилиты
ascension.add_character,ascension,Добавить персонажа
ascension.add_character_desc,ascension,Выберите персонажей и задайте уровни для расчёта материалов
ascension.add_weapon,ascension,Добавить оружие
ascension.add_weapon_desc,ascension,Добавьте оружие для прокачки вместе с персонажами
ascension.category_breakthrough_char,ascension,Материалы прорыва персонажа
ascension.category_breakthrough_weapon,ascension,Материалы прорыва оружия
ascension.category_exp,ascension,Опыт
ascension.category_exp_char,ascension,Опыт персонажа
ascension.category_exp_weapon,ascension,Опыт оружия
ascension.category_gold,ascension,Золото
ascension.category_plant,ascension,Растительные материалы
ascension.category_skill_crown,ascension,Корона навыков
ascension.category_skill_level,ascension,Материалы повышения навыков
ascension.category_skill_specialize,ascension,Материалы специализации навыков
ascension.clear_all,ascension,Очистить всё
ascension.deficit,ascension,Дефицит
ascension.description,ascension,
ascension.farming_list,ascension,Список фарма
ascension.from_level,ascension,С уровня
ascension.include_skills,ascension,Включить навыки
ascension.inventory,ascension,Инвентарь
ascension.inventory_hint,ascension,Используйте Tab или Enter для перемещения между полями
ascension.inventory_search,ascension,Поиск материалов...
ascension.inventory_title,ascension,Инвентарь Материалов
ascension.keep_in_inventory,ascension,Оставить в инвентаре
ascension.level_range,ascension,Диапазон уровней
ascension.levels,ascension,Уровни
ascension.materials_needed,ascension,Необходимые материалы
ascension.materials_required,ascension,Необходимые материалы
ascension.no_items,ascension,Персонажи или оружие не выбраны
ascension.no_items_found,ascension,Предметы не найдены
ascension.no_items_hint,ascension,
ascension.no_materials,ascension,Материалы не требуются
ascension.no_materials_allocated,ascension,Материалы из инвентаря не распределены.
ascension.owned,ascension,В наличии
ascension.planner,ascension,Планировщик
ascension.priority,ascension,Приоритет
ascension.priority_mode,ascension,Режим сортировки по приоритету
ascension.remove,ascension,Удалить
ascension.remove_and_delete,ascension,Удалить и стереть
ascension.remove_confirm_message,ascension,Эти материалы были назначены для {name}:
ascension.remove_confirm_title,ascension,Удалить из инвентаря?
ascension.select_character,ascension,Выбрать персонажа
ascension.select_weapon,ascension,Выбрать оружие
ascension.skill_from_level,ascension,Навык с
ascension.skill_level,ascension,
ascension.skill_to_level,ascension,Навык до
ascension.skills,ascension,Навыки
ascension.talents,ascension,Навыки
ascension.title,ascension,Планировщик Прокачки
ascension.to_level,ascension,До уровня
ascension.total_exp,ascension,Всего
ascension.total_items,ascension,Всего: {count} предметов
ascension.welcome_description,ascension,"Планируйте прокачку персонажей и оружия, отслеживайте необходимые материалы и управляйте инвентарём в одном месте."
ascension.welcome_title,ascension,Добро пожаловать в Планировщик Прокачки
auth.login,auth,Войти
auth.logout,auth,Выйти
auth.setup_username,auth,"Добро пожаловать! Пожалуйста, установите имя пользователя."
auth.signup,auth,Регистрация
auth.welcome_back,auth,"С возвращением, {username}!"
buildings.sub_automation_core,buildings,Ядро Субавтоматизации
buildings.sub_automation_core.desc,buildings,Направляет разные предметы на каждый выходной порт. Все входы потребляются.
builds.add_alt_weapon,builds,Альт
builds.add_alternative,builds,Добавить альтернативу
builds.add_character,builds,Добавить Персонажа
builds.add_recommended_partner,builds,
builds.all_time,builds,За всё время
builds.alt_label_placeholder,builds,Альт
builds.alternative,builds,Альтернатива
builds.alternative_equipment,builds,Альтернатива
builds.alternative_label_placeholder,builds,"Метка (напр., Бюджетный вариант, Поздняя игра)"
builds.alternative_reason_placeholder,builds,Почему это альтернатива?
builds.apply_filters,builds,Применить фильтры
builds.auto_saved,builds,Автосохранено
builds.back_to_character,builds,К списку сборок
builds.back_to_list,builds,Назад к сборкам
builds.be_first_character,builds,"Станьте первым, кто поделится сборкой для этого персонажа!"
builds.be_first_to_share,builds,"Станьте первым, кто поделится сборкой с сообществом!"
builds.browse_builds,builds,Просмотр сборок
builds.browse_character_builds,builds,Просмотр сборок сообщества для этого персонажа
builds.build,builds,Сборки
builds.build_character,builds,Сборка Персонажа
builds.build_description,builds,Гайд по Сборке
builds.build_name,builds,Название Сборки
builds.build_team,builds,Собрать Команду
builds.by,builds,от
builds.change_alt_weapon,builds,Изменить альтернативное оружие
builds.change_character,builds,Сменить персонажа
builds.character_desc,builds,Выберите главного персонажа для этой сборки
builds.character_level,builds,Уровень
builds.character_not_found,builds,Персонаж не найден
builds.character_not_found_desc,builds,Персонаж не найден.
builds.characters,builds,персонажей
builds.clear_draft,builds,Очистить черновик
builds.clear_filters,builds,Очистить фильтры
builds.click_to_add_partners,builds,
builds.comments,builds,Комментарии
builds.comments_count,builds,комментариев
builds.confirm_delete,builds,"Вы уверены, что хотите удалить эту сборку? Это действие нельзя отменить."
builds.copied,builds,Скопировано!
builds.copy_to_clipboard,builds,Копировать в буфер
builds.counted_in_calculations,builds,Учтено в расчётах
builds.create_and_share,builds,Создать и поделиться сборкой
builds.create_build,builds,Создать сборку
builds.create_character,builds,Создать сборку персонажа
builds.create_first,builds,Создайте вашу первую сборку
builds.create_new,builds,Создать Новую Сборку
builds.create_team,builds,Создать командную сборку
builds.create_your_own,builds,Создай свой билд!
builds.delete_success,builds,Сборка успешно удалена
builds.description,builds,Создавайте и делитесь сборками персонажей с сообществом
builds.edit_mode,builds,Редактировать
builds.edit_reason,builds,Изменить причину
builds.equipment,builds,Снаряжение
builds.equipment_body,builds,Тело
builds.equipment_bonuses,builds,Бонусы снаряжения
builds.equipment_edc,builds,EDC
builds.equipment_hand,builds,Руки
builds.equipment_medical,builds,Медикаменты
builds.equipment_medical_coming_soon,builds,Медикаменты скоро появятся
builds.equipment_reason_placeholder,builds,Почему вы выбрали это снаряжение?
builds.error_delete,builds,Не удалось удалить сборку
builds.error_load_build,builds,Не удалось загрузить сборку для редактирования
builds.error_loading,builds,Не удалось загрузить сборки
builds.error_name_required,builds,Требуется название сборки
builds.error_no_main_character,builds,"Пожалуйста, выберите главного персонажа"
builds.error_title,builds,Сборка не найдена
builds.error_toggle,builds,Не удалось изменить видимость
builds.explain_why,builds,Объяснить почему
builds.export_build,builds,Экспорт сборки
builds.filter_by_character,builds,Главный персонаж
builds.filter_by_element,builds,Тип элемента
builds.filter_by_partner,builds,Партнёр по команде
builds.filter_by_set,builds,Набор снаряжения
builds.filter_by_tag,builds,Тег
builds.filter_by_weapon,builds,Оружие
builds.filter_character,builds,Персонаж
builds.filter_has_video,builds,Есть видео-гайд
builds.filter_weapon,builds,Тип Оружия
builds.filters,builds,Фильтры
builds.guide,builds,Руководство по сборке
builds.hide_section,builds,Скрыть этот раздел
builds.hide_stats,builds,Скрыть Статы
