Key,Module,EN,CN,TC,JP,KR,RU,MX,PT,FR,DE,ID,VI,TH,IT
app.description,app,"Advanced tools and utilities for Arknights: Endfield including factory planner, headhunt summon simulator, character planner, character showcase, and community plans.",明日方舟：终末地的高级工具和实用程序，包括工厂规划器、招募模拟器、角色规划器、角色展示和社区计划。,明日方舟：終末地的高級工具和實用程序，包括工廠規劃器、招募模擬器、角色規劃器、角色展示和社區計劃。,アークナイツ：エンドフィールドの高度なツールとユーティリティ。工場プランナー、召喚シミュレーター、キャラクタープランナー、キャラクターショーケース、コミュニティプランを含みます。,"명일방주: 엔드필드를 위한 고급 도구 및 유틸리티. 공장 플래너, 소환 시뮬레이터, 캐릭터 플래너, 캐릭터 쇼케이스 및 커뮤니티 계획 포함.","Продвинутые инструменты и утилиты для Arknights: Endfield, включая планировщик фабрики, симулятор призыва, планировщик персонажей, витрину персонажей и планы сообщества.","Herramientas y utilidades avanzadas para Arknights: Endfield, incluyendo planificador de fábrica, simulador de invocación, planificador de personajes, vitrina de personajes y planes de la comunidad.","Ferramentas avançadas e utilitários para Arknights: Endfield. Planeje sua fábrica AIC, simule evocações, acompanhe materiais de ascensão e muito mais.","Outils et utilitaires avancés pour Arknights: Endfield, incluant un planificateur d'usine, un simulateur d'invocation, un planificateur de personnages, une vitrine de personnages et des plans communautaires.","Erweiterte Tools und Hilfsprogramme für Arknights: Endfield, einschließlich Fabrikplaner, Beschwörungssimulator, Charakterplaner, Charakter-Showcase und Community-Pläne.","Alat dan utilitas canggih untuk Arknights: Endfield. Rencanakan pabrik AIC Anda, simulasikan summon, lacak material kenaikan dan lainnya.","Công cụ cộng đồng cho Arknights: Endfield - Trình lập kế hoạch nhà máy, Cơ sở dữ liệu nhân vật, Mô phỏng triệu hồi và nhiều hơn nữa!","เครื่องมือชุมชนสำหรับ Arknights: Endfield - ตัววางแผนโรงงาน, ฐานข้อมูลตัวละคร, จำลองการเรียก และอื่นๆ อีกมากมาย!","Strumenti e utilità avanzate per Arknights: Endfield, tra cui pianificatore di fabbrica, simulatore di evocazione, pianificatore personaggi, vetrina personaggi e piani della community."
app.title,app,EndfieldTools.DEV - Arknights: Endfield Tools & Utilities,EndfieldTools.DEV - 明日方舟：终末地工具与实用程序,EndfieldTools.DEV - 明日方舟：終末地工具與實用程序,EndfieldTools.DEV - アークナイツ：エンドフィールド ツール＆ユーティリティ,EndfieldTools.DEV - 명일방주: 엔드필드 도구 및 유틸리티,EndfieldTools.DEV - Arknights: Endfield Инструменты и Утилиты,EndfieldTools.DEV - Arknights: Endfield Herramientas y Utilidades,Ferramentas Arknights: Endfield,EndfieldTools.DEV - Outils et Utilitaires Arknights: Endfield,EndfieldTools.DEV - Arknights: Endfield Tools und Hilfsprogramme,Alat Arknights: Endfield,Công cụ Arknights: Endfield,เครื่องมือ Arknights: Endfield,EndfieldTools.DEV - Strumenti e Utilità per Arknights: Endfield
ascension.add_character,ascension,Add Character,添加角色,添加角色,キャラクター追加,캐릭터 추가,Добавить персонажа,Agregar Personaje,Adicionar Personagem,Ajouter un Personnage,Charakter hinzufügen,Tambah Karakter,Thêm nhân vật,เพิ่มตัวละคร,Aggiungi Personaggio
ascension.add_character_desc,ascension,Plan level and skill upgrades,规划等级和技能升级,選擇角色並設定等級範圍以計算材料,レベルとスキルのアップグレードを計画,레벨 및 스킬 업그레이드 계획,Выберите персонажей и задайте уровни для расчёта материалов,Planifica mejoras de nivel y habilidades,Selecione um personagem para adicionar ao planejador,Planifier les améliorations de niveau et de compétences,Level- und Fähigkeiten-Upgrades planen,Pilih karakter untuk ditambahkan ke perencana,Thêm nhân vật vào trình lập kế hoạch thăng cấp của bạn,เพิ่มตัวละครในตัววางแผนอัปเกรดของคุณ,Pianifica livelli e potenziamenti abilità
ascension.add_weapon,ascension,Add Weapon,添加武器,添加武器,武器追加,무기 추가,Добавить оружие,Agregar Arma,Adicionar Arma,Ajouter une Arme,Waffe hinzufügen,Tambah Senjata,Thêm vũ khí,เพิ่มอาวุธ,Aggiungi Arma
ascension.add_weapon_desc,ascension,Plan breakthrough upgrades,规划突破升级,添加武器與角色一起規劃升級,突破アップグレードを計画,돌파 업그레이드 계획,Добавьте оружие для прокачки вместе с персонажами,Planifica mejoras de avance,Selecione uma arma para adicionar ao planejador,Planifier les percées d'amélioration,Durchbruch-Upgrades planen,Pilih senjata untuk ditambahkan ke perencana,Thêm vũ khí vào trình lập kế hoạch thăng cấp của bạn,เพิ่มอาวุธในตัววางแผนอัปเกรดของคุณ,Pianifica i potenziamenti breakthrough
ascension.category_breakthrough_char,ascension,Character Breakthrough,角色突破,角色突破材料,キャラクター突破,캐릭터 돌파,Материалы прорыва персонажа,Ascensión de Personaje,Avanço de Personagem,Percée de Personnage,Charakter-Durchbruch,Terobosan Karakter,Đột phá nhân vật,บุกทะลุตัวละคร,Breakthrough Personaggio
ascension.category_breakthrough_weapon,ascension,Weapon Breakthrough,武器突破,武器突破材料,武器突破,무기 돌파,Материалы прорыва оружия,Ascensión de Arma,Avanço de Arma,Percée d'Arme,Waffen-Durchbruch,Terobosan Senjata,Đột phá vũ khí,บุกทะลุอาวุธ,Breakthrough Arma
ascension.category_exp,ascension,Experience,经验,經驗,経験値,경험치,Опыт,Experiencia,Experiência,Expérience,Erfahrung,Pengalaman,EXP,EXP,Esperienza
ascension.category_exp_char,ascension,Character EXP,角色经验,角色經驗,キャラクター経験値,캐릭터 경험치,Опыт персонажа,EXP de Personaje,EXP de Personagem,EXP Personnage,Charakter-EXP,EXP Karakter,EXP nhân vật,EXP ตัวละคร,EXP Personaggio
